date,infected,deaths
2020/6/11,1293,38.59
2020/6/12,1329,31.97
2020/6/13,1032,36.38
2020/6/14,418,29.77
2020/6/15,685,33.07
2020/6/16,1209,30.87
2020/6/17,1457,35.28
2020/6/18,1494,31.97
2020/6/19,1209,33.07
2020/6/20,698,31.97
2020/6/21,321,24.25
2020/6/22,800,22.05
2020/6/23,1309,27.56
2020/6/24,1696,24.25
2020/6/25,1276,25.36
2020/6/26,1204,12.13
2020/6/27,755,15.43
2020/6/28,415,25.36
2020/6/29,726,17.64
2020/6/30,808,22.05
2020/7/1,685,16.54
2020/7/2,687,16.54
2020/7/3,694,8.82
2020/7/4,364,16.54
2020/7/5,315,9.92
2020/7/6,251,16.54
2020/7/7,278,13.23
2020/7/8,533,11.02
2020/7/9,334,16.54
2020/7/10,369,15.43
2020/7/11,308,11.02
2020/7/12,106,8.82
2020/7/13,170,13.23
2020/7/14,312,8.82
2020/7/15,287,6.61
2020/7/16,268,6.61
2020/7/17,284,7.72
2020/7/18,191,12.13
2020/7/19,110,7.72
2020/7/20,131,6.61
2020/7/21,226,7.72
2020/7/22,297,6.61
2020/7/23,220,5.51
2020/7/24,262,3.31
2020/7/25,138,1.1
2020/7/26,42,2.2
2020/7/27,71,6.61
2020/7/28,283,4.41
2020/7/29,301,1.1
2020/7/30,302,0
2020/7/31,258,2.2
2020/8/1,303,2.2
2020/8/2,38,3.31
2020/8/3,165,4.41
2020/8/4,333,2.2
